favorites,retweets,tweet_id
27399,6496,828770345708580865
39234,12387,828708714936930305
10196,1483,828650029636317184
6733,1270,828409743546925057
8186,1410,828408677031882754
13533,2456,828381636999917570
7922,1174,828376505180889089
13431,3237,828372645993398273
2349,187,828361771580813312
12618,3162,828046555563323392
11110,2368,828011680017821696
21608,5773,827933404142436356
16564,3320,827653905312006145
7955,1045,827600520311402496
17044,3387,827324948884643840
11351,2477,827199976799354881
23190,5540,826958653328592898
39203,11349,826848821049180160
0,4360,826615380357632002
5497,281,826598799820865537
10818,2594,826598365270007810
19771,4645,826476773533745153
14244,2871,826240494070030336
5235,1036,826204788643753985
16837,3469,826115272272650244
11242,2068,825876512159186944
13691,2755,825829644528148480
55940,19058,825535076884762624
19668,5066,825147591692263424
0,1429,825120256414846976
6839,1429,825026590719483904
0,6083,824796380199809024
16105,3914,824775126675836928
10834,1928,824663926340194305
12661,11511,824325613288833024
16168,4281,824297048279236611
5138,654,824025158776213504
11476,3008,823939628516474880
0,12481,823719002937630720
13534,2678,823699002998870016
14036,2940,823581115634085888
753,29,823333489516937216
16955,4466,823322678127919110
0,10952,823269594223824897
18628,3817,822975315408461824
142610,48781,822872901745569793
14219,2538,822859134160621569
0,7116,822647212903690241
15907,3293,822610361945911296
19553,7116,822489057087389700
30776,16369,822462944365645825
37788,10952,822244816520155136
0,5355,822163064745328640
12251,2606,821886076407029760
0,3715,821813639212650496
9090,1851,821765923262631936
8643,1960,821522889702862852
0,6217,821421320206483457
12702,4851,821407182352777218
275,10,821153421864615936
9421,2240,821149554670182400
10365,2371,821107785811234820
13644,2549,821044531881721856
0,7443,820837357901512704
34066,11053,820749716845686786
13173,3583,820690176645140481
0,632,820494788566847489
0,2872,820446719150292993
3598,632,820314633777061888
21366,6986,820078625395449857
0,1318,820013781606658049
5748,1318,819952236453363712
13895,5391,819924195358416896
14534,3487,819711362133872643
10330,2194,819588359383371776
7798,1336,819347104292290561
2474,450,819238181065359361
24949,7443,819227688460238848
0,40811,819015337530290176
0,21041,819015331746349057
